SampleID	observed_features	shannon	simpson	chao1	ACE	pielou_evenness	Group
KO1	380	5.10516695392912	0.984546221918765	381	380.967410453741	NA	KO
KO2	387	5.19316978544544	0.98721883164555	387.857142857143	387.809073134954	NA	KO
KO3	377	4.99630816696716	0.984697968227482	377.1	377.380070319828	NA	KO
KO4	365	5.02167166496085	0.985369998233077	365	365.163020504407	NA	KO
KO5	340	4.8192779217967	0.980529613802671	340.2	340.366861992322	NA	KO
KO6	385	5.13800126377951	0.987699869992873	385	385.157627118644	NA	KO
OE1	381	5.17763507269884	0.986439803242947	381.333333333333	381.539327004465	NA	OE
OE2	424	5.20540268427851	0.986946254013129	426.5	425.153706666667	NA	OE
OE3	419	5.07112518269213	0.985008711230363	419.857142857143	419.678139088512	NA	OE
OE4	363	5.1146196774315	0.987976967348993	363.1	363.372350718416	NA	OE
OE5	385	5.1869942583762	0.988597287952189	386.2	385.628304821151	NA	OE
OE6	442	5.32652586571219	0.989074181769497	443.111111111111	442.943296633109	NA	OE
WT1	383	4.93872773551677	0.982487828560119	383	383.149579831933	NA	WT
WT2	398	4.84302260782107	0.979478153326987	398.666666666667	398.688587457671	NA	WT
WT3	477	5.31035997063989	0.988318165818901	479.5	478.098589552833	NA	WT
WT4	454	5.21085115488052	0.986730277743894	460.111111111111	456.869145236128	NA	WT
WT5	392	4.95615561317841	0.984174872585103	392	392	NA	WT
WT6	416	5.19361272530934	0.987843742911865	416.2	416.352922678341	NA	WT
